http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000271577	50명의 확진 환자를 감염시킨 국내 메르스(MERS, 중동호흡기증후군) 바이러스의 전자현미경 사진이 처음 언론에 공개됐다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=214&aid=0000504372	2011년 후쿠시마 원전 사태를 계기로 세계 각국에서 개발하기 시작했는데, 가장 뛰어난 로봇을 뽑는 경연 대회가 미국에서 열린 겁니다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0007643209	(런던=연합뉴스) 황정우 특파원 = 애플이 디지털 미디어업체에 대한 수수료율을 낮추는 새로운 계약 방식을 마련하고 있다고 영국 일간 파이낸셜타임스(FT)가 6일(현지시간) 전했다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=081&aid=0002565152	과학자들이 특정 단어에 대한 뇌 반응에는 개인 차이가 있어 비밀번호를 대신할 수 있다는 결과를 발표했다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=109&aid=0003084388	아직까지 주류는 2.5형 이하 HDD가 내장된 외장 HDD지만 최근에는 외장 SSD가 속속 출시되면서 소비자들의 관심을 얻고 있다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003271910	“단통법에다 메르스까지 사람이 너무 없어요.”	휴대폰 유통점들은 단말기유통법 이후 줄어든 손님에다 메르스 사태까지 겹쳐 어려움이 더 큰 것이다.		
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=028&aid=0002277296	그래서 별의 색은 물질이 아니라 온도에 의해 결정된다.	실은 그와는 정반대로 별은 푸를수록 뜨겁고 붉을수록 차갑다.		
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0000749902	가격 대비 고품질을 앞세운 중국산의 공세가 국내외에서 파상적으로 펼쳐지고 있다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=081&aid=0002565179	지구의 세차운동을 찍은 놀라운 사진이 1일(현지시간) 우주전문 사이트 스페이스닷컴에 발표되어 화제가 되고 있다.	이 사진을 제작한 천체사진 작가 미구엘 클라로는 스페이스닷컴에 보낸 이메일에서 직녀성 베가를 '북극성'으로 한 별들의 일주사진 촬영기법을 개발했다고 밝혔다.		
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002076390	마이크로소프트(MS)는 웹기반 스카이프 서비스 베타 버전을 미국과 영국 사용자들에게 공개했다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003272040	세계적 과학저널 ‘네이처’(Naure)는 5일(현지시간) 한국의 중증호흡기증후군(메르스) 사태에 대해 “메르스-코로바이러스는 병원에서는 때때로 인간 바이러스(사람 간에 활발하게 전염)처럼 행동한다”면서 “환자의 폐에서 나오는 연무질(에어로졸)에 (바이러스가 실려) 주변을 오염시키거나 주변 사람들을 감염시킬 수 있다”고 전했다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000350956	모바일 플랫폼 시장을 장악하기 위한 애플과 구글의 주도권 경쟁이 스마트폰과 태블릿을 넘어 커넥티드카 시장으로 확대되면서 이 시장의 주도권을 어느 업체가 잡을지에 관심이 모아지고 있다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0000749746	사흘에 한번꼴로 새로운 요금제나 서비스가 발표됐다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=277&aid=0003514068	앞으로 구글에서 이용자들이 자신의 개인정보 이용 범위를 설정할 수 있게 됐다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0003484325	구글이 모바일 결제 시스템인 ‘안드로이드 페이’에 신용카드 수수료를 부과하지 않기로 했다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0003484328	세계적인 과학전문지 네이처(Nature)가 메르스(중동호흡기증후군) 바이러스는 인간 사이에서 자유롭게 전파되는 바이러스(인간 바이러스)가 아니라고 6일(한국시간) 보도했다.			
http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=096&aid=0000377854	하지만 분명한 것은 이제 지구온난화가 단순히 기후 변화 차원을 넘어 지구의 중력까지도 변화시키고 있다는 사실이다.	물론 빙하가 녹아내리면서 중력이 달라진다고 해서 당장 큰 문제가 생기는 것은 아니다.		
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0001455456&date=20150606&type=1&rankingSectionId=100&rankingSeq=1	한국과 일본 정부가 오는 9일 일본 나가사키현 하시마(군함도) 등 일제 강점기 조선인 강제징용 시설을 포함한 일본 메이지 산업시설 세계문화유산 등재 문제를 놓고 양자협의를 재개한다.	외교부는 6일 "일본 메이지 산업혁명시설 세계유산 등재 문제 관련 한일 정부 간 제2차 협의가 9일 서울 외교부에서 개최될 예정"이라고 밝혔다.		
